0,30630,0
30630,120,1
30750,390,2
31140,30,3
31170,30,2
31200,150,3
31350,30,4
31380,60,3
31440,60,4
31500,30,3
31530,120,4
31650,30,3
31680,120,4
31800,30,0
31830,60,3
31890,60,2
31950,120,3
32070,30,4
32100,30,3
32130,120,4
32250,210,2
32460,30,3
32490,60,2
32550,120,3
32670,30,1
32700,150,2
32850,60,3
32910,30,2
32940,30,3
32970,30,2
33000,120,3
33120,150,4
33270,30,3
33300,30,2
33330,60,3
33390,30,4
33420,90,3
33510,1890,4
35400,30,1
35430,210,3
35640,60,2
35700,90,3
35790,150,2
35940,30,3
35970,870,5
36840,180,1
37020,240,2
37260,30,3
37290,120,1
37410,90,2
37500,30,1
37530,930,2
38460,30,3
38490,30,2
38520,60,3
38580,30,4
38610,30,3
38640,30,4
38670,30,3
38700,30,4
38730,30,3
38760,150,2
38910,60,3
38970,90,4
39060,60,3
39120,30,4
39150,30,3
39180,60,4
39240,60,3
39300,180,4
39480,60,3
39540,30,4
39570,30,3
39600,270,4
39870,30,1
39900,60,2
39960,30,1
39990,210,2
40200,30,1
40230,60,2
40290,30,1
40320,180,2
40500,870,5
41370,30,2
41400,60,1
41460,30,0
41490,120,1
41610,870,2
42480,30,1
42510,30,2
42540,30,1
42570,300,2
42870,30,3
42900,390,2
43290,30,3
43320,30,2
43350,30,3
43380,30,2
43410,180,3
43590,90,4
43680,30,3
43710,210,2
43920,60,3
43980,30,2
44010,30,4
44040,180,3
44220,60,4
44280,60,3
44340,60,4
44400,120,3
44520,120,2
44640,30,3
44670,30,4
44700,30,2
44730,240,5
44970,30,1
45000,510,5
45510,30,0
45540,120,1
45660,480,0
46140,90,1
46230,30,0
46260,120,1
46380,690,2
47070,60,0
47130,30,1
47160,990,2
48150,30,3
48180,30,2
48210,90,3
48300,120,2
48420,60,3
48480,60,2
48540,30,3
48570,30,2
48600,30,3
48630,30,2
48660,120,3
48780,210,2
48990,30,3
49020,120,2
49140,60,1
49200,990,5
50190,30,0
50220,150,1
50370,270,5
50640,510,0
51150,90,1
51240,300,0
51540,30,1
51570,540,0
52110,150,1
52260,27240,0
